epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,32.0578,0.66011,0.98107,1.07457,1.17983,0,1,0.69204,0.995,0.76848,1,0.69204,0.995,0.57834,0.76988,3.45526,2.81244,1.31854,0,0.000496741,0.000496741,0.000496741
31,33.056,0.81077,1.0811,1.31736,1.07207,0,0.94197,0.8,0.92,0.7188,0.94197,0.8,0.92,0.62711,0.68543,3.1822,2.6269,1.24301,0,0.0005109,0.0005109,0.0005109
32,33.8022,0.62612,0.86026,1.28825,1.25796,0,0.94197,0.8,0.92,0.7188,0.94197,0.8,0.92,0.62711,0.68543,3.1822,2.6269,1.24301,0,0.000524861,0.000524861,0.000524861
33,34.6238,0.85177,1.59042,1.3316,1.18247,0,0.9047,0.8,0.96167,0.77561,0.9047,0.8,0.96167,0.58606,0.80007,4.13906,2.44465,1.4719,0,0.000538624,0.000538624,0.000538624
34,35.372,0.91063,1.54921,1.14671,1.26591,0,0.9047,0.8,0.96167,0.77561,0.9047,0.8,0.96167,0.58606,0.80007,4.13906,2.44465,1.4719,0,0.000552189,0.000552189,0.000552189
35,36.1455,0.71381,1.0523,1.07752,1.18314,0,0.94558,0.8,0.93786,0.68373,0.94558,0.8,0.93786,0.61651,0.98367,3.3919,2.4823,1.75523,0,0.000565556,0.000565556,0.000565556
36,36.9333,0.82528,1.3339,1.16305,1.21818,0,0.94558,0.8,0.93786,0.68373,0.94558,0.8,0.93786,0.61651,0.98367,3.3919,2.4823,1.75523,0,0.000578725,0.000578725,0.000578725
37,37.8513,0.75293,1.12607,1.17421,1.32854,0,0.94537,0.8,0.96167,0.67897,0.94537,0.8,0.96167,0.67877,1.06436,2.83777,2.56031,1.85888,0,0.000591696,0.000591696,0.000591696
38,38.7373,0.69439,1.3984,1.25344,1.26574,0,0.94537,0.8,0.96167,0.67897,0.94537,0.8,0.96167,0.67877,1.06436,2.83777,2.56031,1.85888,0,0.000604469,0.000604469,0.000604469
39,39.5619,0.78257,1.37333,1.20262,1.30696,0,1,0.71639,0.93786,0.66132,1,0.71639,0.93786,0.6746,1.17627,2.77245,2.60704,2.00459,0,0.000617044,0.000617044,0.000617044
40,40.5927,1.00168,1.30312,1.4563,1.26998,0,1,0.71639,0.93786,0.66132,1,0.71639,0.93786,0.6746,1.17627,2.77245,2.60704,2.00459,0,0.000629421,0.000629421,0.000629421
41,41.4372,0.79168,1.41114,1.18763,1.22434,0,0.94848,0.6,0.88071,0.58149,1,0.74481,0.96167,0.70173,1.22424,2.57138,2.74296,2.11284,0,0.0006416,0.0006416,0.0006416
42,42.2196,0.80887,1.45142,1.22207,1.34699,0,0.94848,0.6,0.88071,0.58149,1,0.74481,0.96167,0.70173,1.22424,2.57138,2.74296,2.11284,0,0.000653581,0.000653581,0.000653581
43,42.9927,0.68858,1.11998,1.09028,1.30511,0,0.54581,0.72826,0.77,0.51728,0.93614,0.6,0.88071,0.71663,1.249,2.13447,2.84531,2.13916,0,0.000665364,0.000665364,0.000665364
44,43.7559,0.83729,0.9683,1.30636,1.27489,0,0.54581,0.72826,0.77,0.51728,0.93614,0.6,0.88071,0.71663,1.249,2.13447,2.84531,2.13916,0,0.000676949,0.000676949,0.000676949
45,44.5678,0.83334,1.07325,1.06314,1.18451,0,0.44478,0.64538,0.715,0.47947,0.58077,0.8,0.80333,0.68595,1.27683,2.55819,2.86379,1.96586,0,0.000688336,0.000688336,0.000688336
46,45.3349,0.75221,0.78714,1.24552,1.25203,0,0.44478,0.64538,0.715,0.47947,0.58077,0.8,0.80333,0.68595,1.27683,2.55819,2.86379,1.96586,0,0.000699525,0.000699525,0.000699525
47,46.1492,0.85049,0.93445,1.31639,1.46988,0,1,0.77692,0.995,0.77346,1,0.77692,0.995,0.80075,0.78509,2.03194,2.46768,1.3558,0,0.000710516,0.000710516,0.000710516
48,47.0966,0.68462,0.68797,1.27949,1.22916,0,1,0.77692,0.995,0.77346,1,0.77692,0.995,0.80075,0.78509,2.03194,2.46768,1.3558,0,0.000721309,0.000721309,0.000721309
49,48.8705,0.72008,1.11167,1.12353,1.17341,0,0.98146,1,0.995,0.84756,0.98146,1,0.995,0.81487,0.75596,2.08686,2.41896,1.29019,0,0.000731904,0.000731904,0.000731904
50,49.8308,1.17634,1.13861,1.49238,1.43232,0,0.98146,1,0.995,0.84756,0.98146,1,0.995,0.81487,0.75596,2.08686,2.41896,1.29019,0,0.000742301,0.000742301,0.000742301
51,52.5999,0.74046,0.95395,1.26281,1.14756,0,0.96704,1,0.995,0.81048,0.96704,1,0.995,0.76849,0.84684,3.11699,2.16016,1.51783,0,0.0007525,0.0007525,0.0007525
52,53.3698,0.87251,1.81337,1.14684,1.34403,0,0.96704,1,0.995,0.81048,0.96704,1,0.995,0.76849,0.84684,3.11699,2.16016,1.51783,0,0.000762501,0.000762501,0.000762501
53,54.6991,0.72446,0.77897,1.0058,1.34113,0,0.96704,1,0.995,0.81048,0.96704,1,0.995,0.76849,0.84684,3.11699,2.16016,1.51783,0,0.000772304,0.000772304,0.000772304
54,55.6933,0.82067,1.28713,1.15594,1.26013,0,0.98209,1,0.995,0.68412,0.98209,1,0.995,0.76656,0.92279,2.77943,2.28822,1.86205,0,0.000781909,0.000781909,0.000781909
55,56.6501,0.71118,1.37297,1.25808,1.26221,0,0.98209,1,0.995,0.68412,0.98209,1,0.995,0.76656,0.92279,2.77943,2.28822,1.86205,0,0.000791316,0.000791316,0.000791316
56,57.5639,0.82234,1.28825,1.31125,1.21217,0,0.98209,1,0.995,0.68412,0.98209,1,0.995,0.76656,0.92279,2.77943,2.28822,1.86205,0,0.000800525,0.000800525,0.000800525
57,58.7517,0.80391,1.00551,1.10655,1.31506,0,1,0.99775,0.995,0.51291,1,0.99775,0.995,0.761,1.20396,2.03777,2.69708,2.31901,0,0.000809536,0.000809536,0.000809536
58,59.8261,0.76466,0.92225,1.20847,1.18514,0,1,0.99775,0.995,0.51291,1,0.99775,0.995,0.761,1.20396,2.03777,2.69708,2.31901,0,0.000818349,0.000818349,0.000818349
59,60.7112,1.01419,1.70519,1.15742,1.4157,0,1,0.99775,0.995,0.51291,1,0.99775,0.995,0.761,1.20396,2.03777,2.69708,2.31901,0,0.000826964,0.000826964,0.000826964
60,61.7329,0.70662,0.97774,1.1709,1.24612,0,0.95127,0.8,0.895,0.48775,1,0.97298,0.995,0.74304,1.04294,1.77761,2.88072,1.94091,0,0.000835381,0.000835381,0.000835381
61,62.4128,0.77093,1.0042,1.06736,1.07835,0,0.95127,0.8,0.895,0.48775,1,0.97298,0.995,0.74304,1.04294,1.77761,2.88072,1.94091,0,0.0008436,0.0008436,0.0008436
62,63.1853,0.79897,1.08144,1.10267,1.28643,0,0.95127,0.8,0.895,0.48775,1,0.97298,0.995,0.74304,1.04294,1.77761,2.88072,1.94091,0,0.000851621,0.000851621,0.000851621
63,64.0137,0.71683,0.98862,1.07996,1.24231,0,0.83107,0.9864,0.96167,0.72293,0.83107,0.9864,0.96167,0.77761,0.95394,2.43161,2.32371,1.74369,0,0.000859444,0.000859444,0.000859444
64,64.8171,0.83844,0.96852,1.18323,1.14949,0,0.83107,0.9864,0.96167,0.72293,0.83107,0.9864,0.96167,0.77761,0.95394,2.43161,2.32371,1.74369,0,0.000867069,0.000867069,0.000867069
65,65.5774,0.85448,1.14895,1.23726,1.25734,0,0.83107,0.9864,0.96167,0.72293,0.83107,0.9864,0.96167,0.77761,0.95394,2.43161,2.32371,1.74369,0,0.000874496,0.000874496,0.000874496
66,66.3699,1.05247,1.54065,1.3856,1.60181,0,1,0.76333,0.92,0.56579,1,0.76333,0.92,0.59464,0.9931,1.62058,2.50461,1.64043,0,0.000881725,0.000881725,0.000881725
67,67.0797,0.82317,1.32448,1.16872,1.29842,0,1,0.76333,0.92,0.56579,1,0.76333,0.92,0.59464,0.9931,1.62058,2.50461,1.64043,0,0.000888756,0.000888756,0.000888756
68,68.1097,0.95794,0.78504,1.15329,1.40776,0,1,0.76333,0.92,0.56579,1,0.76333,0.92,0.59464,0.9931,1.62058,2.50461,1.64043,0,0.000895589,0.000895589,0.000895589
69,68.8775,0.6263,1.09095,0.95426,1.09894,0,0.81654,1,0.96167,0.50679,0.81654,1,0.96167,0.54013,0.94979,1.02145,2.36931,1.43909,0,0.000902224,0.000902224,0.000902224
70,69.8654,0.74855,1.08265,1.06483,1.16908,0,0.81654,1,0.96167,0.50679,0.81654,1,0.96167,0.54013,0.94979,1.02145,2.36931,1.43909,0,0.000908661,0.000908661,0.000908661
71,70.717,0.88332,0.92335,1.3601,1.38582,0,0.81654,1,0.96167,0.50679,0.81654,1,0.96167,0.54013,0.94979,1.02145,2.36931,1.43909,0,0.0009149,0.0009149,0.0009149
72,71.5382,0.60507,0.72698,0.8598,1.10741,0,0.84483,1,0.995,0.60729,0.84483,1,0.995,0.64862,0.9893,0.83371,2.27844,1.5632,0,0.000920941,0.000920941,0.000920941
73,72.2731,0.67255,1.23771,1.0374,1.16808,0,0.84483,1,0.995,0.60729,0.84483,1,0.995,0.64862,0.9893,0.83371,2.27844,1.5632,0,0.000926784,0.000926784,0.000926784
74,73.2109,0.64858,1.06458,0.91767,1.19704,0,0.84483,1,0.995,0.60729,0.84483,1,0.995,0.64862,0.9893,0.83371,2.27844,1.5632,0,0.000932429,0.000932429,0.000932429
75,74.0113,0.63874,1.10389,1.12392,1.1081,0,0.97513,1,0.995,0.57021,0.97513,1,0.995,0.60627,0.89943,0.85787,2.28428,1.54284,0,0.000937876,0.000937876,0.000937876
76,74.7576,0.71483,0.82399,1.06283,1.14459,0,0.97513,1,0.995,0.57021,0.97513,1,0.995,0.60627,0.89943,0.85787,2.28428,1.54284,0,0.000943125,0.000943125,0.000943125
77,75.84,0.69488,0.80108,1.03565,1.17625,0,0.97513,1,0.995,0.57021,0.97513,1,0.995,0.60627,0.89943,0.85787,2.28428,1.54284,0,0.000948176,0.000948176,0.000948176
78,76.6479,0.68677,0.60394,1.02101,1.17733,0,0.99788,1,0.995,0.62396,0.99788,1,0.995,0.79355,0.88919,1.18466,2.2642,1.51062,0,0.000953029,0.000953029,0.000953029
79,77.4413,0.69487,0.87478,1.00355,1.18828,0,0.99788,1,0.995,0.62396,0.99788,1,0.995,0.79355,0.88919,1.18466,2.2642,1.51062,0,0.000957684,0.000957684,0.000957684
80,78.4031,0.8663,1.17733,1.50693,1.46478,0,0.99788,1,0.995,0.62396,0.99788,1,0.995,0.79355,0.88919,1.18466,2.2642,1.51062,0,0.000962141,0.000962141,0.000962141
81,79.2842,0.86302,1.27432,1.19484,1.32469,0,0.82949,0.97694,0.92833,0.42827,0.82949,0.97694,0.92833,0.7278,1.39305,1.06122,2.39316,2.08063,0,0.0009664,0.0009664,0.0009664
82,80.0628,0.76614,1.33928,1.01298,1.18604,0,0.82949,0.97694,0.92833,0.42827,0.82949,0.97694,0.92833,0.7278,1.39305,1.06122,2.39316,2.08063,0,0.000970461,0.000970461,0.000970461
83,81.1097,0.67783,0.68546,1.02453,1.09459,0,0.82949,0.97694,0.92833,0.42827,0.82949,0.97694,0.92833,0.7278,1.39305,1.06122,2.39316,2.08063,0,0.000974324,0.000974324,0.000974324
84,81.9401,0.89196,1.02852,1.08191,1.31645,0,0.65585,0.8,0.59682,0.33658,0.8201,1,0.96167,0.74508,1.46651,1.24198,2.3346,2.16329,0,0.000977989,0.000977989,0.000977989
85,82.6306,0.79363,0.72684,0.97627,1.21222,0,0.65585,0.8,0.59682,0.33658,0.8201,1,0.96167,0.74508,1.46651,1.24198,2.3346,2.16329,0,0.000981456,0.000981456,0.000981456
86,83.9858,0.77765,1.03152,1.0499,1.188,0,0.65585,0.8,0.59682,0.33658,0.8201,1,0.96167,0.74508,1.46651,1.24198,2.3346,2.16329,0,0.000984725,0.000984725,0.000984725
87,85.2892,0.7163,1.16107,1.14255,1.2253,0,0.65585,0.8,0.59682,0.33658,0.8201,1,0.96167,0.74508,1.46651,1.24198,2.3346,2.16329,0,0.000987796,0.000987796,0.000987796
88,87.2575,0.67477,0.80712,0.9261,0.96308,0,0.98701,1,0.995,0.87007,0.98701,1,0.995,0.88306,0.74323,1.23165,1.67465,1.33746,0,0.000990669,0.000990669,0.000990669
89,90.2504,1.00359,1.48584,1.40317,1.22268,0,0.98701,1,0.995,0.87007,0.98701,1,0.995,0.88306,0.74323,1.23165,1.67465,1.33746,0,0.000993344,0.000993344,0.000993344
90,93.0875,0.58842,0.82274,0.90809,1.116,0,0.98701,1,0.995,0.87007,0.98701,1,0.995,0.88306,0.74323,1.23165,1.67465,1.33746,0,0.000995821,0.000995821,0.000995821
91,94.5387,0.71732,0.82553,0.98277,1.1212,0,0.98701,1,0.995,0.87007,0.98701,1,0.995,0.88306,0.74323,1.23165,1.67465,1.33746,0,0.0009981,0.0009981,0.0009981
92,95.7363,0.76015,1.52616,1.00712,1.0646,0,0.98848,1,0.995,0.87153,0.98848,1,0.995,0.86507,0.58228,1.2769,1.49722,1.12275,0,0.00100018,0.00100018,0.00100018
93,96.6818,0.9107,0.82542,1.30378,1.44587,0,0.98848,1,0.995,0.87153,0.98848,1,0.995,0.86507,0.58228,1.2769,1.49722,1.12275,0,0.00100206,0.00100206,0.00100206
94,97.7007,0.70269,0.95667,0.87988,1.10786,0,0.98848,1,0.995,0.87153,0.98848,1,0.995,0.86507,0.58228,1.2769,1.49722,1.12275,0,0.00100375,0.00100375,0.00100375
